电影名称,上映年份,上映时间,电影标签,播放时长,评分,语言,导演,作者,主演,宣传语,描述
The Pianist,2002,2003-01-24,"Drama,War",150m,84,English,Roman Polanski,Ronald Harwood,"Adrien Brody,Thomas Kretschmann,Frank Finlay,Maureen Lipman,Emilia Fox,Ed Stoppard,Julia Rayner,Jessica Kate Meyer,Michał Żebrowski,View More ",Music was his passion. Survival was his masterpiece.,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city."
Whiplash,2014,2014-10-10,"Drama,Music,Thriller",107m,84,English,Damien Chazelle,,"Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell,Nate Lang,Chris Mulkey,Damon Gupton,Suanne Spoke,View More ",The road to greatness can take you to the edge.,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity."
Inception,2010,2010-07-15,"Action,Science Fiction,Adventure",148m,84,English,Christopher Nolan,,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ken Watanabe,Tom Hardy,Elliot Page,Dileep Rao,Cillian Murphy,Tom Berenger,Marion Cotillard,View More ",Your mind is the scene of the crime.,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
Squid Game: Making Season 2,2025,2025-01-03,Documentary,28m,84,Korean,,,"Hwang Dong-hyuk,Lee Jung-jae,Lee Byung-hun,Chae Kyoung-sun,Kim Ji-yong,Gong Yoo,Wi Ha-jun,Yim Si-wan,Lee Jin-uk,View More ",,"From set designs to character arcs, get exclusive cast and director interviews on how Season 2 of the globally most-watched series was brought to life."
The Punisher: One Last Kill,2026,2026-05-13,"Action,Drama,Crime",51m,84,English,Reinaldo Marcus Green,Gerry Conway,"Jon Bernthal,Deborah Ann Woll,Jason R. Moore,Judith Light,Kelli Barrett,Andre Royo,John Douglas Thompson,Colton Hill,Nick Koumalatsos,View More ",Hey Frank.,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight."
High and Low,1963,1963-03-01,"Drama,Crime,Thriller",142m,84,Japanese,Akira Kurosawa,Evan Hunter,"Toshirō Mifune,Tatsuya Nakadai,Kyōko Kagawa,Tatsuya Mihashi,Isao Kimura,Kenjirō Ishiyama,Takeshi Katō,Takashi Shimura,Jun Tazaki,View More ","Stark, intense drama almost beyond belief!",A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.
Gabriel's Inferno: Part II,2020,2020-07-31,"Romance,Drama",106m,83,English,Tosca Musk,Sylvain Reynard,"Melanie Zanetti,Giulio Berruti,James Andrew Fraser,Margaux Brooke,Agnes Albright,Purva Bedi,Sahar Bibiyan,Cedric Cannon,Ned Van Zandt,View More ",,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?"
The Silence of the Lambs,1991,2021-08-08,"Crime,Thriller,Drama",119m,83,English,Jonathan Demme,Thomas Harris,"Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine,Anthony Heald,Brooke Smith,Diane Baker,Kasi Lemmons,Frankie Faison,View More ",To enter the mind of a killer she must challenge the mind of a madman.,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out."
Gabriel's Inferno: Part III,2020,2020-11-19,"Romance,Drama",102m,83,English,Tosca Musk,Sylvain Reynard,"Melanie Zanetti,Giulio Berruti,Rhett Wellington Ramirez,James Andrew Fraser,Margaux Brooke,Pat Asanti,Julia Barrett-Mitchell,Kurt McKinney",,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.
Rear Window,1954,2008-10-07,"Thriller,Mystery,Drama",112m,83,English,Alfred Hitchcock,John Michael Hayes,"James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,Raymond Burr,Judith Evelyn,Ross Bagdasarian,Georgine Darcy,Sara Berner,View More ",It only takes one witness to spoil the perfect crime.,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
Spider-Man: Across the Spider-Verse,2023,2023-06-01,"Animation,Action,Adventure,Science Fiction",140m,83,English,Joaquim Dos Santos,Kemp Powers,"Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Vélez,Jake Johnson,Oscar Isaac,Jason Schwartzman,Issa Rae,Daniel Kaluuya,View More ",It's how you wear the mask that matters.,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most."
American History X,1998,1999-03-18,Drama,119m,83,English,Tony Kaye,David McKenna,"Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Ethan Suplee,Fairuza Balk,Avery Brooks,Elliott Gould,Stacy Keach,View More ",Some legacies must end.,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did."
Radical,2023,2023-10-19,Drama,125m,83,Spanish; Castilian,Christopher Zalla,,"Eugenio Derbez,Daniel Haddad,Jennifer Trejo,Mia Fernanda Solis,Danilo Guardiola Escobar,Gilberto Barraza,Víctor Estrada,Manuel Márquez,Christian Gonzalez,View More ",Think for yourself.,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius."
Back to the Future,1985,1985-07-03,"Adventure,Comedy,Science Fiction",116m,83,English,Robert Zemeckis,Bob Gale,"Michael J. Fox,Christopher Lloyd,Crispin Glover,Lea Thompson,Claudia Wells,Thomas F. Wilson,Marc McClure,Wendie Jo Sperber,George DiCenzo,View More ",He was never in time for his classes... He wasn't in time for his dinner... Then one day... he wasn't in his time at all.,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
Burn the Stage: The Movie,2018,2018-11-15,"Music,Documentary",85m,83,Korean,Park Jun-soo,,"RM,Jin,Suga,j-hope,Jimin,V,Jung Kook","From the deserts to the seas, we were always together.","Burn the Stage: the Movie is the first movie from BTS, going behind-the-scenes of the BTS WINGS TOUR to reveal the full story of the band’s meteoric rise to fame. This unmissable film provides an intimate look at what happens when the most successful global boy band of all time breaks down barriers and invades the mainstream music scene. Exclusive tour footage and brand-new one-on-one interviews with BTS members give fans an unprecedented glimpse into their lives and an opportunity for everyone to celebrate together worldwide."
Princess Mononoke,1997,2025-09-11,"Adventure,Fantasy,Animation",134m,83,Japanese,Hayao Miyazaki,,"Yoji Matsuda,Yuriko Ishida,Yuko Tanaka,Kaoru Kobayashi,Masahiko Nishimura,Tsunehiko Kamijô,Akihiro Miwa,Mitsuko Mori,Hisaya Morishige,View More ",The fate of the world rests on the courage of one warrior.,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict."
The Wild Robot,2024,2024-09-26,"Family,Animation,Science Fiction,Adventure",102m,83,English,Chris Sanders,,"Lupita Nyong'o,Pedro Pascal,Kit Connor,Bill Nighy,Stephanie Hsu,Matt Berry,Ving Rhames,Mark Hamill,Catherine O'Hara,View More ",Discover your true nature.,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
Ennio,2022,2022-12-01,"Documentary,Music,History",156m,83,Italian,Giuseppe Tornatore,,"Ennio Morricone,Silvano Agosti,Alessandro Alessandroni,Fausto Ancillai,Dario Argento,Joan Baez,Sergio Bassetti,Bruno Battisti D'Amario,Marco Bellocchio,View More ",,"A portrait of Ennio Morricone, the most popular and prolific film composer of the 20th century, the one most loved by the international public, a two-time Oscar winner and the author of over five hundred unforgettable scores."
Stop Making Sense,1984,1984-10-19,"Documentary,Music",88m,83,English,Jonathan Demme,,"David Byrne,Chris Frantz,Jerry Harrison,Tina Weymouth,Ednah Holt,Lynn Mabry,Steven Scales,Alex Weir,Bernie Worrell,View More ",Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?,"A concert film documenting Talking Heads at the height of their popularity, on tour for their 1983 album ""Speaking in Tongues."" The band takes the stage one by one and is joined by a cadre of guest musicians for a career-spanning and cinematic performance that features creative choreography and visuals."
Perfect Blue,1998,2019-03-26,"Animation,Thriller",82m,83,Japanese,Satoshi Kon,Yoshikazu Takeuchi,"Junko Iwao,Rica Matsumoto,Shiho Niiyama,Masaaki Okura,Shinpachi Tsuji,Emiko Furukawa,Yosuke Akimoto,Yoku Shioya,Hideyuki Hori,View More ","""excuse me... who are you?""","Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia."
Ikiru,1952,1952-10-09,Drama,143m,83,Japanese,Akira Kurosawa,Shinobu Hashimoto,"Takashi Shimura,Haruo Tanaka,Nobuo Kaneko,Bokuzen Hidari,Miki Odagiri,Shinichi Himori,Minoru Chiaki,Minosuke Yamada,Kamatari Fujiwara,View More ",A big story of a little man which will grip your soul...,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life."
Dead Poets Society,1989,2006-01-17,Drama,129m,83,English,Peter Weir,Tom Schulman,"Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,Gale Hansen,Dylan Kussman,Allelon Ruggiero,James Waterston,Norman Lloyd,View More ",He was their inspiration. He made their lives extraordinary.,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster."
The Legend of Hei,2019,2019-08-27,"Animation,Fantasy,Action",102m,83,Chinese,MTJJ,Kexin Peng,"Shan Xin,Liu Mingyue,Hao Xianghai,Ding Dang,Yuntu Cao,Sheng Feng,Chen Siyu",One Small Spirit Will Determine the Fate of the World.,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans."
Léon: The Professional,1994,1994-09-14,"Crime,Drama,Action",111m,83,French,Luc Besson,,"Jean Reno,Natalie Portman,Gary Oldman,Danny Aiello,Peter Appel,Michael Badalucco,Ellen Greene,Elizabeth Regen,Carl J. Matusovich,View More ","If you want the job done right, hire a professional.","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps."
Violet Evergarden: The Movie,2020,2020-09-18,"Animation,Drama,Fantasy,Romance",140m,83,Japanese,Taichi Ishidate,Kana Akatsuki,"Yui Ishikawa,Daisuke Namikawa,Takehito Koyasu,Hidenobu Kiuchi,Haruka Tomatsu,Koki Uchiyama,Aya Endo,Minori Chihara,Kaori Mizuhashi,View More ",,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again."
The Quintessential Quintuplets Movie,2022,2022-05-20,"Animation,Comedy,Romance",136m,83,Japanese,Masato Jimbo,Keiichiro Ochi,"Yoshitsugu Matsuoka,Kana Hanazawa,Ayana Taketatsu,Miku Ito,Ayane Sakura,Inori Minase,Natsumi Takamori,Satoshi Hino",,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?"
Dedicated to my ex,2019,2019-11-08,"Drama,Comedy",94m,83,Spanish; Castilian,Jorge Ulloa,Diego Ulloa,"Raúl Santana,Nataly Valencia,Carlos Alcántara,Biassini Segura,Mariana Treviño,Eugenio Derbez,Orlando Herrera,Alfredo Espinosa,Gabriel Montiel,View More ",,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities."
We All Loved Each Other So Much,1974,1974-12-21,"Drama,Comedy",125m,83,Italian,Ettore Scola,Agenore Incrocci,"Nino Manfredi,Vittorio Gassman,Stefania Sandrelli,Stefano Satta Flores,Giovanna Ralli,Aldo Fabrizi,Marcella Michelangeli,Elena Fabrizi,Fiammetta Baralla,View More ",A many splendored thing.,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond."
It's a Wonderful Life,1946,1946-12-20,"Drama,Family,Fantasy",131m,83,English,Frank Capra,Frances Goodrich,"James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Henry Travers,Beulah Bondi,Frank Faylen,Ward Bond,Gloria Grahame,View More ",It's a wonderful laugh! It's a wonderful love!,"George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin."
Bring the Soul: The Movie,2019,2019-08-07,"Music,Documentary",105m,83,Korean,Park Jun-soo,,"RM,Jin,Suga,j-hope,Jimin,V,Jung Kook","Forever, we are young.","A glimpse into K-pop group BTS’ world away from the stage, featuring intimate group discussions alongside spectacular concert performances from their world tour."
The Great Dictator,1940,1945-10-23,"Comedy,War",125m,83,English,Charlie Chaplin,,"Charlie Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,Henry Daniell,Billy Gilbert,Grace Hayle,Carter DeHaven,Maurice Moscovitch,View More ",Once again - the whole world laughs!,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Dou kyu sei – Classmates,2016,2016-02-20,"Romance,Animation",61m,83,Japanese,Shoko Nakamura,Asumiko Nakamura,"Kenji Nojima,Hiroshi Kamiya,Hideo Ishikawa,Yurino","Sincerely, Slowly, Falling in Love.","Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together."
Modern Times,1936,2010-11-16,"Comedy,Drama,Romance",87m,83,English,Charlie Chaplin,,"Charlie Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,Chester Conklin,Hank Mann,Stanley Blystone,Al Ernest Garcia,Richard Alexander,View More ","He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!","A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..."
Sunset Boulevard,1950,1950-08-10,Drama,110m,83,English,Billy Wilder,Charles Brackett,"William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,Fred Clark,Lloyd Gough,Jack Webb,Franklyn Farnum,Larry J. Blake,View More ",A Hollywood Story.,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.
Once Upon a Time in the West,1968,2011-05-31,"Drama,Western",166m,83,Italian,Sergio Leone,Sergio Donati,"Claudia Cardinale,Henry Fonda,Jason Robards,Charles Bronson,Gabriele Ferzetti,Paolo Stoppa,Woody Strode,Jack Elam,Keenan Wynn,View More ",There were three men in her life. One to take her… one to love her —and one to kill her.,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life."
The Intouchables,2011,2012-12-13,"Drama,Comedy",113m,83,French,Olivier Nakache,Éric Toledano,"François Cluzet,Omar Sy,Anne Le Ny,Audrey Fleurot,Joséphine de Meaux,Clotilde Mollet,Alba Gaïa Bellugi,Cyril Mendy,Salimata Kamate,View More ",Sometimes you have to reach into someone else's world to find out what's missing in your own.,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.
Apocalypse Now,1979,1979-08-15,"Drama,War",147m,83,English,Francis Ford Coppola,John Milius,"Martin Sheen,Marlon Brando,Frederic Forrest,Albert Hall,Laurence Fishburne,Sam Bottoms,Robert Duvall,G.D. Spradlin,Harrison Ford,View More ",This is the end...,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."
"Josee, the Tiger and the Fish",2020,2020-12-25,"Animation,Drama,Romance",98m,83,Japanese,Kotaro Tamura,Sayaka Kuwamura,"Taishi Nakagawa,Kaya Kiyohara,Yume Miyamoto,Kazuyuki Okitsu,Lynn,Chiemi Matsutera,Kanji Obana,Shintarou Moriyama,Yuuya Uchida,View More ",Together they can fly.,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook."
Once Upon a Studio,2023,2023-10-16,"Animation,Family,Fantasy,Drama,Comedy",9m,83,English,Dan Abraham,Trent Correy,"Chris Diamantopoulos,Kaitlyn Robrock,Tony Anselmo,Bill Farmer,Jim Cummings,Auliʻi Cravalho,Kristen Bell,Anika Noni Rose,Raymond S. Persi,View More ",100 years of Disney magic comes together.,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo."
I Swear,2025,2025-09-22,Drama,121m,83,English,Kirk Jones,,"Robert Aramayo,Maxine Peake,Peter Mullan,Shirley Henderson,Scott Ellis Watson,David Carlyle,Francesco Piacentini-Smith,Somerled Campbell,Michael Dylan,View More ",I blink. I twitch. I jump. I click. I whistle. I shout.,"Diagnosed with Tourette Syndrome at 15, John Davidson navigates his way against the odds through troubled teenage years and into adulthood, finding inspiration in the kindness of others to discover his true purpose in life."
Out of the Clear Blue Sky,2019,2019-12-24,"Comedy,Drama,Music",112m,83,Spanish; Castilian,Pepe Bojórquez,Alfredo Felix-Diaz,"Omar Chaparro,Ana Claudia Talancón,Stephanie Cayo,Lupita Sandoval,Yare Santana,Angélica María,Manuel 'Flaco' Ibáñez,Alejandro Gasque,Juan Alberto Villareal,View More ",,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise."
Night and Fog,1956,1956-05-22,"Documentary,History",32m,83,French,Alain Resnais,Jean Cayrol,"Michel Bouquet,Reinhard Heydrich,Heinrich Himmler,Adolf Hitler,Julius Streicher",,Filmmaker Alain Resnais documents the atrocities behind the walls of Hitler's concentration camps.
Hotarubi no Mori e,2011,2011-09-17,"Romance,Animation,Fantasy",45m,83,Japanese,Takahiro Omori,,"Izumi Sawada,Hayato Taya,Ayane Sakura,Koki Uchiyama,Shinpachi Tsuji,Kanehira Yamamoto,Masanori Machida,Mami Uchida,Hiroki Goto,View More ","""To sacrifice a whole life for one single touch...""","One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits..."
Le Trou,1960,1960-03-18,"Drama,Thriller,Crime",132m,83,French,Jacques Becker,José Giovanni,"Michel Constantin,Jean Keraudy,Philippe Leroy,Raymond Meunier,Marc Michel,Jean-Paul Coquelin,André Bervil,Eddy Rasimi,Philippe Dumat,View More ",Poor Gaspard...,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system – yet their escape is anything but assured."
Michael Jackson's Thriller,1983,1983-11-21,"Horror,Thriller,Music",14m,83,English,John Landis,Michael Jackson,"Michael Jackson,Ola Ray,Vincent Price,Cynthia Garris,Mick Garris,Hanala Sagal,Forrest J. Ackerman,Reed Armstrong,Rick Baker,View More ",,"A night at the movies turns terrifying when Michael and his date are attacked by zombies. Released at the height of Thriller’s success, the short film redefined the music video, broke racial barriers, and became the first inducted into the U.S. National Film Registry."
Neon Genesis Evangelion: The End of Evangelion,1997,1997-07-19,"Animation,Science Fiction,Drama,Fantasy",87m,83,Japanese,Hideaki Anno,Kazuya Tsurumaki,"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Yuko Miyamura,Fumihiko Tachiki,Miki Nagasawa,Takehito Koyasu,Hiro Yuuki,Yuriko Yamaguchi,View More ",The fate of destruction is also the joy of rebirth.,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity."
Paths of Glory,1957,1957-12-20,"War,Drama",88m,83,English,Stanley Kubrick,Humphrey Cobb,"Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,Wayne Morris,Richard Anderson,Joe Turkel,Christiane Kubrick,Jerry Hausner,View More ",It explodes in the no-man's land no picture ever dared cross before!,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.
The Lion King,1994,1994-08-10,"Animation,Family,Drama",89m,83,English,Roger Allers,Rob Minkoff,"Matthew Broderick,Moira Kelly,Jeremy Irons,Nathan Lane,Ernie Sabella,James Earl Jones,Robert Guillaume,Rowan Atkinson,Jim Cummings,View More ",The greatest adventure of all is finding our place in the Circle of Life.,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life."
A Brighter Summer Day,1991,1991-07-27,"Crime,Drama,Romance",237m,83,Chinese,Edward Yang,Alex Yang,"Chang Chen,Lisa Yang,Chang Kuo-Chu,Elaine Jin Yan-Ling,Wang Chuan,Chang Han,Chiang Hsiu-Chiung,Stephanie Lai,Tan Chih-Kang,View More ",,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan."
Miracle in Cell No. 7,2019,2019-10-11,Drama,132m,83,Turkish,Mehmet Ada Öztekin,Kubilay Tat,"Aras Bulut İynemli,Nisa Sofiya Aksongur,İlker Aksum,Mesut Akusta,Yıldıray Şahinler,Yurdaer Okur,Sarp Akkaya,Deniz Baysal,Deniz Celiloğlu,View More ",,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child."
City Lights,1931,1931-03-07,"Comedy,Drama,Romance",87m,83,English,Charlie Chaplin,Harry Crocker,"Charlie Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,Al Ernest Garcia,Hank Mann,Albert Austin,Eddie Baker,Henry Bergman,View More ",True Blind Love,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.
The Matrix,1999,1999-04-22,"Action,Science Fiction",136m,82,English,Lana Wachowski,Lilly Wachowski,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster,Joe Pantoliano,Marcus Chong,Julian Arahanga,Matt Doran,View More ",Believe the unbelievable.,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."
Counterattack,2025,2025-02-28,"Action,Adventure,Thriller",85m,82,Spanish; Castilian,Chava Cartas,José Rubén Escalante Méndez,"Luis Alberti,Noé Hernández,Leonardo Alonso,Luis Curiel,Guillermo Nava,David Calderón León,Mayra Batalla,Israel Islas,Ishbel Bautista,View More ",,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group."
